Province/State,Country/Region,January,February,March,April,May,June,July,August,Total_deaths
,Ecuador,0,0,423,12586,76863,117638,160481,183084,551075
,Egypt,0,0,338,6017,19547,52719,125273,153939,357833
,El Salvador,0,0,1,181,809,2510,9534,17937,30972
,Equatorial Guinea,0,0,0,9,219,640,1594,2490,4952
,Eritrea,0,0,0,0,0,0,0,0,0
,Estonia,0,0,14,978,1903,2066,2139,1903,9003
,Eswatini,0,0,0,15,57,141,701,2096,3010
,Ethiopia,0,0,0,73,159,1588,5001,16007,22828
,Fiji,0,0,0,0,0,0,1,34,35
,Finland,0,0,69,2863,8784,9738,10188,9987,41629
French Guiana,France,0,0,0,11,31,142,968,1549,2701
French Polynesia,France,0,0,0,0,0,0,0,0,0
Guadeloupe,France,0,0,20,271,406,420,434,436,1987
Martinique,France,0,0,18,262,434,420,456,474,2064
Mayotte,France,0,0,1,92,461,848,1142,1174,3718
New Caledonia,France,0,0,0,0,0,0,0,0,0
Reunion,France,0,0,0,0,12,35,92,155,294
Saint Barthelemy,France,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,France,0,0,0,0,0,0,0,0,0
St Martin,France,0,0,2,64,93,90,93,124,466
,France,0,19,21289,486114,843785,880586,929302,908731,4069826
,Gabon,0,0,12,45,320,853,1438,1556,4224
,Gambia,0,0,9,30,31,40,131,1622,1863
,Georgia,0,0,0,104,339,407,480,523,1853
,Germany,0,0,3876,115270,242992,263821,281460,276947,1184366
,Ghana,0,0,38,254,820,1941,4478,7008,14539
,Greece,0,0,339,3088,4958,5550,6078,6846,26859
,Grenada,0,0,0,0,0,0,0,0,0
,Guatemala,0,0,16,205,1318,12078,42253,71116,126986
,Guinea,0,0,0,84,472,769,1205,1557,4087
,Guinea-Bissau,0,0,0,5,133,446,795,925,2304
,Guyana,0,0,21,183,315,360,547,776,2202
,Haiti,0,0,0,92,655,2169,4322,5639,12877
,Holy See,0,0,0,0,0,0,0,0,0
,Honduras,0,0,20,1107,4322,9879,27439,47415,90182
,Hungary,0,0,119,4482,13618,16758,18399,18205,71581
,Iceland,0,0,27,234,310,300,310,300,1481
,India,0,0,226,14417,94154,319641,812555,1516864,2757857
,Indonesia,0,0,989,14067,35759,65257,122962,185188,424222
,Iran,0,171,34200,141323,215665,270859,424660,583413,1670291
,Iraq,0,0,509,2275,4085,23448,107877,175965,314159
,Ireland,0,0,296,16660,46680,51004,54277,53183,222100
,Israel,0,0,94,3960,8164,9046,12316,21255,54835
,Italy,0,102,116616,644171,973585,1027414,1084927,1059663,4906478
,Jamaica,0,0,13,147,277,297,310,446,1490
,Japan,0,40,892,6828,23070,28059,30609,33576,123074
,Jordan,0,0,15,200,278,270,322,357,1442
,Kazakhstan,0,0,10,442,1024,2791,13376,37711,55354
,Kenya,0,0,6,297,1314,3130,6907,14302,25956
,"Korea, South",0,83,2606,6533,8104,8325,9057,9233,43941
,Kosovo,0,0,9,316,863,1029,3825,11385,17427
,Kuwait,0,0,0,234,3288,8741,12450,14860,39573
,Kyrgyzstan,0,0,0,154,407,928,18863,39874,60226
,Laos,0,0,0,0,0,0,0,0,0
,Latvia,0,0,0,185,613,829,950,977,3554
,Lebanon,0,0,110,616,799,926,1288,3065,6804
,Lesotho,0,0,0,0,0,0,149,783,932
,Liberia,0,0,0,202,687,953,1782,2418,6042
,Libya,0,0,0,38,102,297,1446,4598,6481
,Liechtenstein,0,0,0,27,31,31,31,30,150
,Lithuania,0,0,47,845,1744,2234,2461,2466,9797
,Luxembourg,0,0,162,1943,3228,3300,3446,3656,15735
,MS Zaandam,0,0,0,60,62,60,62,60,304
,Madagascar,0,0,0,0,39,342,1707,4785,6873
,Malawi,0,0,0,53,101,213,1690,4633,6690
,Malaysia,0,0,264,2393,3443,3570,3792,3751,17213
,Maldives,0,0,0,2,108,231,422,682,1445
,Mali,0,0,5,382,1544,3001,3753,3749,12434
,Malta,0,0,0,71,181,270,279,282,1083
,Mauritania,0,0,2,30,182,2463,4560,4723,11960
,Mauritius,0,0,26,255,310,300,310,300,1501
,Mexico,0,0,136,19390,165485,544692,1164238,1684799,3578740
,Moldova,0,0,21,1591,6349,12343,20699,26751,67754
,Monaco,0,0,3,70,124,120,124,120,561
,Mongolia,0,0,0,0,0,0,0,0,0
,Montenegro,0,0,10,122,269,274,888,2222,3785
,Morocco,0,0,192,3613,5918,6364,8419,20567,45073
,Mozambique,0,0,0,0,11,100,290,546,947
,Namibia,0,0,0,0,0,0,109,1043,1152
,Nepal,0,0,0,0,58,546,1239,3425,5268
Aruba,Netherlands,0,0,0,31,87,90,93,151,452
"Bonaire, Sint Eustatius and Saba",Netherlands,0,0,0,0,0,0,0,0,0
Curacao,Netherlands,0,0,13,30,31,30,31,30,165
Sint Maarten,Netherlands,0,0,0,258,453,450,465,502,2128
,Netherlands,0,0,5824,94541,172661,181527,190218,185326,830097
,New Zealand,0,0,3,272,652,660,682,660,2929
,Nicaragua,0,0,5,51,436,1743,3048,3858,9141
,Niger,0,0,11,511,1596,1979,2124,2070,8291
,Nigeria,0,0,11,574,5475,13007,23530,29004,71601
,North Macedonia,0,0,40,1283,3164,6005,12485,16304,39281
,Norway,0,0,234,4258,7048,7276,7854,7799,34469
,Oman,0,0,1,164,774,3188,9199,16799,30125
,Pakistan,0,0,154,4893,28177,85941,166284,184507,469956
,Panama,0,0,136,3087,8266,13702,31805,52467,109463
,Papua New Guinea,0,0,0,0,0,0,7,99,106
,Paraguay,0,0,26,204,329,366,919,4356,6200
,Peru,0,0,142,11056,81546,205078,424250,730195,1452267
,Philippines,0,28,669,10091,24374,32735,50594,79013,197504
,Poland,0,0,213,9321,27459,37836,49588,56241,180658
,Portugal,0,0,792,18022,37567,45176,51775,53259,206591
,Qatar,0,0,5,215,576,2289,4642,5655,13382
,Romania,0,0,314,11630,32626,42881,61343,89019,237813
,Russia,0,0,54,10123,82313,210517,366477,467008,1136492
,Rwanda,0,0,0,0,2,58,128,282,470
,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0
,Saint Lucia,0,0,0,0,0,0,0,0,0
,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0
,San Marino,0,0,318,1094,1280,1260,1302,1260,6514
,Sao Tome and Principe,0,0,0,0,213,366,429,450,1458
,Saudi Arabia,0,0,39,2487,9632,30353,72783,101605,216899
,Senegal,0,0,0,118,773,2045,4978,7454,15368
,Serbia,0,0,71,3059,6909,7662,13387,19901,50989
,Seychelles,0,0,0,0,0,0,0,0,0
,Sierra Leone,0,0,0,28,869,1551,1991,2059,6498
,Singapore,0,0,25,282,655,760,824,810,3356
,Slovakia,0,0,4,260,832,840,869,942,3747
,Slovenia,0,0,83,1746,3191,3273,3500,3852,15645
,Somalia,0,0,0,246,1679,2570,2866,2807,10168
,South Africa,0,0,12,1363,9779,46164,153218,345620,556156
,South Sudan,0,0,0,0,116,752,1294,1407,3569
,Spain,0,0,54579,548160,834880,827175,880773,860796,4006363
,Sri Lanka,0,0,6,193,279,329,341,339,1487
,Sudan,0,0,21,282,3524,13433,20766,23822,61848
,Suriname,0,0,0,28,31,155,597,1359,2170
,Sweden,0,0,2164,52134,122506,154061,176037,174062,680964
,Switzerland,0,0,2566,36069,57753,58257,61087,59784,275516
,Syria,0,0,5,72,104,197,754,2081,3213
,Taiwan*,0,14,49,171,207,210,217,210,1078
,Tajikistan,0,0,0,0,915,1496,1739,1925,6075
,Tanzania,0,0,1,171,616,630,651,630,2699
,Thailand,0,0,72,1182,1730,1738,1798,1740,8260
,Timor-Leste,0,0,0,0,0,0,0,0,0
,Togo,0,0,5,133,346,396,487,748,2115
,Trinidad and Tobago,0,0,16,229,248,240,248,341,1322
,Tunisia,0,0,64,940,1414,1480,1550,1779,7227
,Turkey,0,0,976,49592,124363,144834,168344,179376,667485
,US,0,1,25324,1057534,2788799,3551394,4327115,5080480,16830647
,Uganda,0,0,0,0,0,0,15,435,450
,Ukraine,0,0,89,3623,15181,27498,45117,63257,154765
,United Arab Emirates,0,0,32,1170,6431,8714,10381,10927,37655
Anguilla,United Kingdom,0,0,0,0,0,0,0,0,0
Bermuda,United Kingdom,0,0,0,117,255,270,279,270,1191
British Virgin Islands,United Kingdom,0,0,0,12,31,30,31,30,134
Cayman Islands,United Kingdom,0,0,16,30,31,30,31,30,168
Channel Islands,United Kingdom,0,0,10,554,1332,1412,1457,1422,6187
Falkland Islands (Malvinas),United Kingdom,0,0,0,0,0,0,0,0,0
Gibraltar,United Kingdom,0,0,0,0,0,0,0,0,0
Isle of Man,United Kingdom,0,0,0,228,727,720,744,720,3139
Montserrat,United Kingdom,0,0,0,7,31,30,31,30,129
Turks and Caicos Islands,United Kingdom,0,0,0,26,31,30,62,65,214
,United Kingdom,0,0,12550,456242,1028311,1177140,1268026,1240642,5182911
,Uruguay,0,0,4,280,606,721,980,1180,3771
,Uzbekistan,0,0,9,144,363,552,2390,6889,10347
,Venezuela,0,0,11,266,325,843,3248,8228,12921
,Vietnam,0,0,0,0,0,0,3,603,606
,West Bank and Gaza,0,0,6,51,71,94,1465,3372,5059
,Western Sahara,0,0,0,0,6,30,31,30,97
,Yemen,0,0,0,2,790,5697,12932,15951,35372
,Zambia,0,0,0,62,188,355,2609,7329,10543
,Zimbabwe,0,0,9,86,124,139,721,3934,5013
